id,Delta,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
23,0.039671,0.153460,0.049887,0.018600,0.034749,0.029008,0.022403,0.011504,0.033648,0.032169,0.031698,0.035158,0.033861,0.029984,0.034766,0.050123,0.040112,0.037073,0.020092,0.032683,0.014720,0.051175,0.028266,0.030589,0.045077,0.042336,0.022293,0.025040,0.017147,0.023243,0.043984,0.017721,0.014024,0.035652,0.049254,0.011847
6,0.038822,0.152984,0.049712,0.017212,0.035506,0.027417,0.022197,0.011504,0.033443,0.032847,0.032751,0.033466,0.034470,0.030205,0.036398,0.049807,0.041228,0.039305,0.018774,0.027754,0.011496,0.049948,0.026581,0.032830,0.044751,0.041135,0.023955,0.024715,0.020882,0.024113,0.043899,0.017293,0.016139,0.037811,0.049043,0.011126
5,0.039033,0.152774,0.049647,0.017614,0.035666,0.027712,0.021235,0.011281,0.034358,0.033152,0.032603,0.033347,0.033886,0.030367,0.035594,0.049526,0.040800,0.038869,0.018524,0.031002,0.012428,0.050139,0.026333,0.032272,0.044881,0.041337,0.023580,0.024496,0.020627,0.022180,0.044548,0.017145,0.015984,0.037642,0.049766,0.011106
18,0.039133,0.152168,0.049404,0.015403,0.035325,0.025278,0.020497,0.012782,0.033924,0.033899,0.033496,0.032544,0.034615,0.030485,0.037255,0.049145,0.040896,0.041770,0.017582,0.028333,0.010690,0.049055,0.024360,0.035029,0.043367,0.038965,0.026617,0.024443,0.025451,0.020964,0.045114,0.016812,0.017385,0.039478,0.049028,0.010012
6,0.038822,0.152984,0.049712,0.017212,0.035506,0.027417,0.022197,0.011504,0.033443,0.032847,0.032751,0.033466,0.034470,0.030205,0.036398,0.049807,0.041228,0.039305,0.018774,0.027754,0.011496,0.049948,0.026581,0.032830,0.044751,0.041135,0.023955,0.024715,0.020882,0.024113,0.043899,0.017293,0.016139,0.037811,0.049043,0.011126
13,0.038894,0.153041,0.049702,0.016926,0.035477,0.027127,0.022077,0.011683,0.033346,0.032939,0.032725,0.033359,0.034433,0.030111,0.036641,0.049676,0.041405,0.039583,0.018671,0.027572,0.011396,0.049890,0.026294,0.033095,0.044863,0.040911,0.024281,0.024742,0.021320,0.023794,0.043973,0.017435,0.016337,0.037991,0.048928,0.010997
27,0.039013,0.154865,0.049973,0.017512,0.035592,0.027599,0.021242,0.011335,0.034412,0.033262,0.032662,0.033314,0.033937,0.030453,0.033069,0.049428,0.040741,0.039027,0.018455,0.030857,0.012401,0.050062,0.026250,0.032416,0.044800,0.041340,0.023603,0.024529,0.020774,0.022191,0.044642,0.019594,0.015954,0.037741,0.049756,0.011049
19,0.038694,0.151386,0.049190,0.015496,0.036505,0.025446,0.019547,0.013334,0.033212,0.033669,0.034135,0.031295,0.034677,0.031526,0.038469,0.048440,0.042622,0.042116,0.017862,0.028656,0.009746,0.048369,0.024015,0.034940,0.044292,0.039649,0.026007,0.024280,0.025598,0.021150,0.044176,0.016684,0.018831,0.037762,0.047265,0.010230
3,0.038819,0.152787,0.049618,0.016390,0.035550,0.026155,0.021674,0.012143,0.033256,0.033239,0.033020,0.032935,0.034505,0.029799,0.037180,0.049516,0.041725,0.040374,0.018327,0.027152,0.010948,0.049484,0.025543,0.033831,0.044747,0.040539,0.024823,0.024722,0.022502,0.023325,0.044215,0.017285,0.016845,0.038797,0.048758,0.010697
6,0.038822,0.152980,0.049710,0.017212,0.035506,0.027417,0.022197,0.011504,0.033443,0.032847,0.032751,0.033466,0.034470,0.030205,0.036398,0.049887,0.041228,0.039305,0.018774,0.027754,0.011496,0.049948,0.026581,0.032830,0.044751,0.041135,0.023955,0.024715,0.020882,0.024113,0.043899,0.017293,0.016139,0.037732,0.049043,0.011126
8,0.038554,0.152101,0.049437,0.015802,0.035848,0.025784,0.020383,0.012806,0.033785,0.033675,0.033308,0.032424,0.034645,0.031134,0.037454,0.048657,0.041777,0.041473,0.018211,0.028110,0.010912,0.048900,0.024712,0.034920,0.043808,0.040164,0.025333,0.024587,0.024287,0.020705,0.044706,0.016702,0.017376,0.038857,0.048411,0.010347
