id,Mean,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
2,0.347631,0.347631,0.008362,0.000691,0.005856,0.094207,0.000000,0.000000,0.001017,0.000409,0.000722,0.041979,0.046028,0.010926,0.079109,0.007325,0.015214,0.035322,0.039277,0.003029,0.072907,0.000000,0.011247,0.039726,0.001295,0.000000,0.000715,0.071254,0.042031,0.000000,0.074729,0.229755,0.011192,0.003287,0.059239,0.001510
21,0.347631,0.347631,0.008362,0.000691,0.005856,0.094207,0.000000,0.000000,0.001017,0.000409,0.000722,0.041979,0.046028,0.010926,0.079109,0.007325,0.015214,0.035322,0.039277,0.003029,0.072907,0.000000,0.011247,0.039726,0.001295,0.000000,0.000715,0.071254,0.042031,0.000000,0.074729,0.229755,0.011192,0.003287,0.059239,0.001510
5,0.344538,0.344538,0.008308,0.000681,0.005908,0.095219,0.000000,0.000000,0.001009,0.000400,0.000782,0.043825,0.044796,0.010881,0.077149,0.007219,0.014934,0.035921,0.039257,0.002974,0.075881,0.000000,0.010833,0.042298,0.001335,0.000000,0.000741,0.070550,0.042511,0.000000,0.074869,0.225158,0.011054,0.003517,0.058800,0.001498
2,0.347631,0.347631,0.008362,0.000691,0.005856,0.094207,0.000000,0.000000,0.001017,0.000409,0.000722,0.041979,0.046028,0.010926,0.079109,0.007325,0.015214,0.035322,0.039277,0.003029,0.072907,0.000000,0.011247,0.039726,0.001295,0.000000,0.000715,0.071254,0.042031,0.000000,0.074729,0.229755,0.011192,0.003287,0.059239,0.001510
21,0.347631,0.347631,0.008362,0.000691,0.005856,0.094207,0.000000,0.000000,0.001017,0.000409,0.000722,0.041979,0.046028,0.010926,0.079109,0.007325,0.015214,0.035322,0.039277,0.003029,0.072907,0.000000,0.011247,0.039726,0.001295,0.000000,0.000715,0.071254,0.042031,0.000000,0.074729,0.229755,0.011192,0.003287,0.059239,0.001510
11,0.345365,0.345365,0.008301,0.000676,0.005957,0.095209,0.000000,0.000000,0.001020,0.000406,0.000757,0.043066,0.044647,0.011162,0.077933,0.007462,0.015642,0.036193,0.039973,0.003068,0.074147,0.000000,0.011202,0.040112,0.001277,0.000000,0.000728,0.069739,0.042022,0.000000,0.074670,0.227075,0.011373,0.003494,0.059538,0.001451
2,0.347631,0.347631,0.008362,0.000691,0.005856,0.094207,0.000000,0.000000,0.001017,0.000409,0.000722,0.041979,0.046028,0.010926,0.079109,0.007325,0.015214,0.035322,0.039277,0.003029,0.072907,0.000000,0.011247,0.039726,0.001295,0.000000,0.000715,0.071254,0.042031,0.000000,0.074729,0.229755,0.011192,0.003287,0.059239,0.001510
21,0.347631,0.347631,0.008362,0.000691,0.005856,0.094207,0.000000,0.000000,0.001017,0.000409,0.000722,0.041979,0.046028,0.010926,0.079109,0.007325,0.015214,0.035322,0.039277,0.003029,0.072907,0.000000,0.011247,0.039726,0.001295,0.000000,0.000715,0.071254,0.042031,0.000000,0.074729,0.229755,0.011192,0.003287,0.059239,0.001510
28,0.346453,0.346453,0.008334,0.000685,0.005892,0.095847,0.000000,0.000000,0.001021,0.000401,0.000764,0.042945,0.044695,0.010932,0.077444,0.007296,0.015495,0.036225,0.039829,0.003043,0.073798,0.000000,0.011194,0.039595,0.001268,0.000000,0.000734,0.069680,0.042487,0.000000,0.074690,0.228561,0.011126,0.003477,0.059408,0.001469
6,0.363000,0.363000,0.009023,0.000618,0.003408,0.068201,0.000000,0.000000,0.000777,0.000336,0.001217,0.045073,0.030738,0.014596,0.083458,0.009261,0.016604,0.030953,0.052332,0.002317,0.101092,0.000000,0.010250,0.037160,0.001203,0.000000,0.000572,0.039374,0.029489,0.000000,0.100656,0.258778,0.013982,0.004269,0.042704,0.000582
21,0.347631,0.347631,0.008362,0.000691,0.005856,0.094207,0.000000,0.000000,0.001017,0.000409,0.000722,0.041979,0.046028,0.010926,0.079109,0.007325,0.015214,0.035322,0.039277,0.003029,0.072907,0.000000,0.011247,0.039726,0.001295,0.000000,0.000715,0.071254,0.042031,0.000000,0.074729,0.229755,0.011192,0.003287,0.059239,0.001510
2,0.347631,0.347631,0.008362,0.000691,0.005856,0.094207,0.000000,0.000000,0.001017,0.000409,0.000722,0.041979,0.046028,0.010926,0.079109,0.007325,0.015214,0.035322,0.039277,0.003029,0.072907,0.000000,0.011247,0.039726,0.001295,0.000000,0.000715,0.071254,0.042031,0.000000,0.074729,0.229755,0.011192,0.003287,0.059239,0.001510
6,0.363000,0.363000,0.009023,0.000618,0.003408,0.068201,0.000000,0.000000,0.000777,0.000336,0.001217,0.045073,0.030738,0.014596,0.083458,0.009261,0.016604,0.030953,0.052332,0.002317,0.101092,0.000000,0.010250,0.037160,0.001203,0.000000,0.000572,0.039374,0.029489,0.000000,0.100656,0.258778,0.013982,0.004269,0.042704,0.000582
4,0.362214,0.362214,0.008990,0.000620,0.003518,0.069484,0.000000,0.000000,0.000788,0.000338,0.001200,0.045034,0.031278,0.014436,0.083109,0.009173,0.016566,0.031227,0.051813,0.002348,0.099961,0.000000,0.010286,0.037272,0.001205,0.000000,0.000580,0.040616,0.030079,0.000000,0.099527,0.257390,0.013853,0.004245,0.043435,0.000619
13,0.361169,0.361169,0.008944,0.000625,0.003683,0.071260,0.000000,0.000000,0.000804,0.000343,0.001167,0.044837,0.032282,0.014191,0.082792,0.009043,0.016481,0.031537,0.050949,0.002397,0.098072,0.000000,0.010355,0.037429,0.001210,0.000000,0.000590,0.042727,0.030928,0.000000,0.097783,0.255435,0.013666,0.004182,0.044552,0.000680
11,0.367907,0.367907,0.008970,0.000898,0.007767,0.094027,0.000000,0.000000,0.001289,0.000376,0.000950,0.043040,0.078676,0.009622,0.039301,0.010301,0.021283,0.027524,0.036383,0.002338,0.071113,0.000000,0.013543,0.038577,0.001353,0.000000,0.000675,0.073251,0.042135,0.000000,0.059479,0.257797,0.013696,0.004096,0.048146,0.002363
6,0.363000,0.363000,0.009023,0.000618,0.003408,0.068201,0.000000,0.000000,0.000777,0.000336,0.001217,0.045073,0.030738,0.014596,0.083458,0.009261,0.016604,0.030953,0.052332,0.002317,0.101092,0.000000,0.010250,0.037160,0.001203,0.000000,0.000572,0.039374,0.029489,0.000000,0.100656,0.258778,0.013982,0.004269,0.042704,0.000582
4,0.362214,0.362214,0.008990,0.000620,0.003518,0.069484,0.000000,0.000000,0.000788,0.000338,0.001200,0.045034,0.031278,0.014436,0.083109,0.009173,0.016566,0.031227,0.051813,0.002348,0.099961,0.000000,0.010286,0.037272,0.001205,0.000000,0.000580,0.040616,0.030079,0.000000,0.099527,0.257390,0.013853,0.004245,0.043435,0.000619
11,0.367907,0.367907,0.008970,0.000898,0.007767,0.094027,0.000000,0.000000,0.001289,0.000376,0.000950,0.043040,0.078676,0.009622,0.039301,0.010301,0.021283,0.027524,0.036383,0.002338,0.071113,0.000000,0.013543,0.038577,0.001353,0.000000,0.000675,0.073251,0.042135,0.000000,0.059479,0.257797,0.013696,0.004096,0.048146,0.002363
17,0.364759,0.364759,0.008873,0.000866,0.007472,0.094081,0.000000,0.000000,0.001247,0.000381,0.000916,0.042889,0.073604,0.009823,0.045437,0.009839,0.020346,0.028743,0.036838,0.002445,0.071402,0.000000,0.013187,0.038750,0.001344,0.000000,0.000682,0.072920,0.042128,0.000000,0.061839,0.253448,0.013306,0.003973,0.049864,0.002230
6,0.363000,0.363000,0.009023,0.000618,0.003408,0.068201,0.000000,0.000000,0.000777,0.000336,0.001217,0.045073,0.030738,0.014596,0.083458,0.009261,0.016604,0.030953,0.052332,0.002317,0.101092,0.000000,0.010250,0.037160,0.001203,0.000000,0.000572,0.039374,0.029489,0.000000,0.100656,0.258778,0.013982,0.004269,0.042704,0.000582
19,0.380951,0.380951,0.009567,0.000444,0.006768,0.076967,0.000000,0.000000,0.001111,0.000343,0.000439,0.042694,0.038364,0.005646,0.026195,0.009415,0.032533,0.038647,0.043345,0.003842,0.104067,0.000000,0.014143,0.032816,0.001214,0.000000,0.000635,0.054640,0.036830,0.000000,0.081383,0.276446,0.016818,0.004440,0.047811,0.002006
11,0.367907,0.367907,0.008970,0.000898,0.007767,0.094027,0.000000,0.000000,0.001289,0.000376,0.000950,0.043040,0.078676,0.009622,0.039301,0.010301,0.021283,0.027524,0.036383,0.002338,0.071113,0.000000,0.013543,0.038577,0.001353,0.000000,0.000675,0.073251,0.042135,0.000000,0.059479,0.257797,0.013696,0.004096,0.048146,0.002363
17,0.364759,0.364759,0.008873,0.000866,0.007472,0.094081,0.000000,0.000000,0.001247,0.000381,0.000916,0.042889,0.073604,0.009823,0.045437,0.009839,0.020346,0.028743,0.036838,0.002445,0.071402,0.000000,0.013187,0.038750,0.001344,0.000000,0.000682,0.072920,0.042128,0.000000,0.061839,0.253448,0.013306,0.003973,0.049864,0.002230
19,0.380951,0.380951,0.009567,0.000444,0.006768,0.076967,0.000000,0.000000,0.001111,0.000343,0.000439,0.042694,0.038364,0.005646,0.026195,0.009415,0.032533,0.038647,0.043345,0.003842,0.104067,0.000000,0.014143,0.032816,0.001214,0.000000,0.000635,0.054640,0.036830,0.000000,0.081383,0.276446,0.016818,0.004440,0.047811,0.002006
0,0.377794,0.377794,0.009469,0.000475,0.006177,0.075425,0.000000,0.000000,0.001052,0.000342,0.000576,0.043113,0.037023,0.007220,0.036265,0.009388,0.029731,0.037294,0.044925,0.003573,0.103544,0.000000,0.013458,0.033580,0.001212,0.000000,0.000624,0.051955,0.035539,0.000000,0.084772,0.273339,0.016319,0.004410,0.046913,0.001755
11,0.367907,0.367907,0.008970,0.000898,0.007767,0.094027,0.000000,0.000000,0.001289,0.000376,0.000950,0.043040,0.078676,0.009622,0.039301,0.010301,0.021283,0.027524,0.036383,0.002338,0.071113,0.000000,0.013543,0.038577,0.001353,0.000000,0.000675,0.073251,0.042135,0.000000,0.059479,0.257797,0.013696,0.004096,0.048146,0.002363
9,0.411545,0.411545,0.010590,0.000425,0.006711,0.098353,0.000000,0.000000,0.000379,0.000292,0.000464,0.032091,0.045150,0.006570,0.041704,0.009182,0.037816,0.022984,0.053394,0.004033,0.085426,0.000000,0.017852,0.025838,0.000876,0.000000,0.000455,0.030164,0.039889,0.000000,0.055863,0.335779,0.013669,0.005049,0.027344,0.002249
19,0.380951,0.380951,0.009567,0.000444,0.006768,0.076967,0.000000,0.000000,0.001111,0.000343,0.000439,0.042694,0.038364,0.005646,0.026195,0.009415,0.032533,0.038647,0.043345,0.003842,0.104067,0.000000,0.014143,0.032816,0.001214,0.000000,0.000635,0.054640,0.036830,0.000000,0.081383,0.276446,0.016818,0.004440,0.047811,0.002006
21,0.377935,0.377935,0.009471,0.000472,0.006256,0.075833,0.000000,0.000000,0.001060,0.000342,0.000559,0.043060,0.037269,0.007037,0.035241,0.009372,0.029989,0.037476,0.044664,0.003606,0.103352,0.000000,0.013531,0.033530,0.001213,0.000000,0.000627,0.052477,0.035783,0.000000,0.084214,0.273350,0.016340,0.004407,0.047150,0.001787
9,0.411545,0.411545,0.010590,0.000425,0.006711,0.098353,0.000000,0.000000,0.000379,0.000292,0.000464,0.032091,0.045150,0.006570,0.041704,0.009182,0.037816,0.022984,0.053394,0.004033,0.085426,0.000000,0.017852,0.025838,0.000876,0.000000,0.000455,0.030164,0.039889,0.000000,0.055863,0.335779,0.013669,0.005049,0.027344,0.002249
16,0.406933,0.406933,0.010413,0.000466,0.006704,0.097237,0.000000,0.000000,0.000459,0.000299,0.000521,0.033265,0.047299,0.007014,0.042641,0.009267,0.035997,0.023546,0.052074,0.003859,0.084749,0.000000,0.017323,0.027105,0.000921,0.000000,0.000474,0.033684,0.039788,0.000000,0.057323,0.327800,0.013677,0.004956,0.029339,0.002213
26,0.403747,0.403747,0.010285,0.000493,0.006812,0.097740,0.000000,0.000000,0.000516,0.000306,0.000536,0.033853,0.049277,0.007106,0.042701,0.009250,0.034949,0.024038,0.050791,0.003786,0.083234,0.000000,0.017073,0.027921,0.000950,0.000000,0.000492,0.036942,0.040269,0.000000,0.057002,0.322181,0.013577,0.004875,0.031096,0.002234
9,0.411545,0.411545,0.010590,0.000425,0.006711,0.098353,0.000000,0.000000,0.000379,0.000292,0.000464,0.032091,0.045150,0.006570,0.041704,0.009182,0.037816,0.022984,0.053394,0.004033,0.085426,0.000000,0.017852,0.025838,0.000876,0.000000,0.000455,0.030164,0.039889,0.000000,0.055863,0.335779,0.013669,0.005049,0.027344,0.002249
1,0.407166,0.407166,0.010433,0.000431,0.006642,0.095378,0.000000,0.000000,0.000467,0.000298,0.000479,0.033521,0.044095,0.006654,0.040998,0.009209,0.036767,0.024841,0.052296,0.003973,0.087777,0.000000,0.017282,0.026842,0.000920,0.000000,0.000477,0.032992,0.039324,0.000000,0.059614,0.327677,0.014013,0.004966,0.029883,0.002185
