id,Skewness,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
15,0.000015,0.117301,0.040653,0.038794,0.004503,0.048260,0.002326,0.052020,0.006847,0.040461,0.074567,0.048890,0.062241,0.008670,0.076666,0.048679,0.068546,0.001062,0.049729,0.003874,0.000154,0.002438,0.020179,0.000038,0.071771,0.003143,0.043197,0.000855,0.003740,0.070886,0.001863,0.000605,0.000421,0.002442,0.090342,0.051794
5,0.000013,0.116623,0.039733,0.038082,0.007162,0.046880,0.003235,0.052248,0.007287,0.042127,0.072893,0.049054,0.038979,0.002653,0.076122,0.055028,0.067727,0.001492,0.049414,0.003747,0.000388,0.003838,0.019153,0.000000,0.072563,0.003372,0.043183,0.001514,0.004937,0.075857,0.002662,0.000763,0.000251,0.003535,0.089166,0.064689
7,0.000007,0.115446,0.038527,0.041959,0.000000,0.050714,0.000148,0.048378,0.000000,0.039081,0.081163,0.051206,0.065570,0.000000,0.082245,0.057527,0.071792,0.000000,0.049239,0.000025,0.000000,0.000000,0.017930,0.000000,0.072432,0.000000,0.043090,0.000000,0.000025,0.058560,0.000000,0.000025,0.000615,0.000000,0.095059,0.073219
15,0.000015,0.117301,0.040653,0.038794,0.004503,0.048260,0.002326,0.052020,0.006847,0.040461,0.074567,0.048890,0.062241,0.008670,0.076666,0.048679,0.068546,0.001062,0.049729,0.003874,0.000154,0.002438,0.020179,0.000038,0.071771,0.003143,0.043197,0.000855,0.003740,0.070886,0.001863,0.000605,0.000421,0.002442,0.090342,0.051794
5,0.000013,0.116623,0.039733,0.038082,0.007162,0.046880,0.003235,0.052248,0.007287,0.042127,0.072893,0.049054,0.038979,0.002653,0.076122,0.055028,0.067727,0.001492,0.049414,0.003747,0.000388,0.003838,0.019153,0.000000,0.072563,0.003372,0.043183,0.001514,0.004937,0.075857,0.002662,0.000763,0.000251,0.003535,0.089166,0.064689
25,0.000010,0.116519,0.039419,0.038760,0.005180,0.047828,0.002505,0.051302,0.006859,0.040805,0.074198,0.049399,0.046930,0.002221,0.076654,0.055396,0.068755,0.001257,0.049314,0.003684,0.000395,0.002754,0.019838,0.000001,0.071997,0.003089,0.043250,0.001213,0.004083,0.069582,0.002067,0.000779,0.000256,0.003341,0.090301,0.066010
15,0.000015,0.117301,0.040653,0.038794,0.004503,0.048260,0.002326,0.052020,0.006847,0.040461,0.074567,0.048890,0.062241,0.008670,0.076666,0.048679,0.068546,0.001062,0.049729,0.003874,0.000154,0.002438,0.020179,0.000038,0.071771,0.003143,0.043197,0.000855,0.003740,0.070886,0.001863,0.000605,0.000421,0.002442,0.090342,0.051794
5,0.000013,0.116630,0.039730,0.038082,0.007162,0.046880,0.003235,0.052248,0.006999,0.042127,0.072893,0.049054,0.038979,0.002653,0.076122,0.055028,0.067727,0.001492,0.049414,0.003747,0.000493,0.004127,0.019153,0.000000,0.072563,0.003372,0.043183,0.001514,0.004937,0.075752,0.002662,0.000763,0.000251,0.003535,0.089166,0.064689
29,0.000012,0.116559,0.039675,0.038235,0.006852,0.047032,0.003107,0.052034,0.007130,0.041952,0.073196,0.049125,0.040263,0.002541,0.076491,0.055036,0.067898,0.001447,0.049404,0.003656,0.000392,0.003668,0.019275,0.000000,0.072518,0.003269,0.043190,0.001470,0.004766,0.074913,0.002551,0.000757,0.000245,0.003510,0.089171,0.064904
15,0.000015,0.117301,0.040653,0.038794,0.004503,0.048260,0.002326,0.052020,0.006847,0.040461,0.074567,0.048890,0.062241,0.008670,0.076666,0.048679,0.068546,0.001062,0.049729,0.003874,0.000154,0.002438,0.020179,0.000038,0.071771,0.003143,0.043197,0.000855,0.003740,0.070886,0.001863,0.000605,0.000421,0.002442,0.090342,0.051794
14,0.000015,0.117213,0.040571,0.038909,0.004315,0.048250,0.002230,0.051970,0.006622,0.040386,0.074799,0.048985,0.061630,0.008257,0.076854,0.049098,0.068673,0.001024,0.049708,0.003774,0.000151,0.002335,0.020126,0.000036,0.071777,0.003038,0.043196,0.000822,0.003604,0.070955,0.001789,0.000588,0.000429,0.002355,0.090532,0.052786
29,0.000013,0.116444,0.039636,0.038235,0.006852,0.047032,0.003107,0.052034,0.007130,0.041952,0.071350,0.049125,0.040263,0.002541,0.076491,0.055036,0.067898,0.001447,0.049404,0.005502,0.000392,0.003668,0.019275,0.000000,0.072518,0.003269,0.043190,0.001470,0.004766,0.074913,0.002551,0.000757,0.000245,0.003510,0.089171,0.064904
21,0.000017,0.117290,0.040092,0.031573,0.004022,0.048438,0.002345,0.051321,0.005803,0.040339,0.075418,0.049385,0.057760,0.005445,0.077466,0.052008,0.069088,0.000964,0.057208,0.003287,0.000203,0.002163,0.019555,0.000021,0.071919,0.002675,0.043199,0.000833,0.003296,0.068958,0.001645,0.000639,0.000402,0.002348,0.091034,0.059239
14,0.000015,0.117212,0.040571,0.038909,0.004315,0.048250,0.002230,0.051970,0.006622,0.040386,0.074799,0.048985,0.061630,0.008257,0.076854,0.049098,0.068673,0.001024,0.049708,0.003774,0.000153,0.002335,0.020126,0.000036,0.071777,0.003038,0.043196,0.000822,0.003604,0.070955,0.001789,0.000586,0.000429,0.002355,0.090532,0.052786
15,0.000014,0.117305,0.040633,0.038794,0.004503,0.048260,0.002326,0.052020,0.006489,0.040320,0.074567,0.048890,0.062241,0.008670,0.076666,0.048679,0.068546,0.001062,0.049729,0.003874,0.000154,0.002438,0.020179,0.000038,0.071771,0.003285,0.043197,0.000855,0.003740,0.070886,0.001863,0.000605,0.000421,0.002442,0.090342,0.052152
21,0.000033,0.118382,0.041185,0.031573,0.004022,0.048438,0.002345,0.051321,0.005803,0.040339,0.075418,0.049385,0.057760,0.005445,0.077466,0.052008,0.069088,0.000964,0.057208,0.003287,0.000203,0.002163,0.004034,0.000021,0.071919,0.002675,0.043199,0.000833,0.003296,0.084479,0.001645,0.000639,0.000402,0.002348,0.091034,0.059239
11,0.000024,0.115302,0.038788,0.038798,0.005630,0.047668,0.002779,0.051455,0.006012,0.041313,0.079696,0.049444,0.044797,0.002523,0.077100,0.055464,0.063250,0.001223,0.048981,0.003887,0.000398,0.003180,0.019183,0.000036,0.093764,0.002836,0.042429,0.001223,0.004030,0.050263,0.002133,0.000667,0.000302,0.003023,0.090287,0.066223
14,0.000015,0.117209,0.040569,0.038909,0.004315,0.048250,0.002230,0.051970,0.006622,0.040386,0.074799,0.048985,0.061630,0.008257,0.076854,0.049098,0.068609,0.001024,0.049708,0.003774,0.000153,0.002335,0.020190,0.000036,0.071777,0.003038,0.043196,0.000822,0.003604,0.070955,0.001789,0.000586,0.000429,0.002355,0.090532,0.052786
21,0.000033,0.118381,0.041186,0.031573,0.004022,0.048438,0.002345,0.051321,0.005803,0.040339,0.075488,0.049385,0.057760,0.005445,0.077466,0.052008,0.069088,0.000964,0.057208,0.003217,0.000274,0.002163,0.004034,0.000021,0.071850,0.002675,0.043199,0.000833,0.003296,0.084479,0.001575,0.000639,0.000402,0.002417,0.091034,0.059239
6,0.000033,0.118452,0.041199,0.031585,0.004131,0.048438,0.002344,0.051320,0.005800,0.040105,0.075420,0.049386,0.057760,0.005441,0.077468,0.052012,0.068980,0.000963,0.057196,0.003286,0.000205,0.002162,0.004056,0.000021,0.071919,0.002674,0.043197,0.001061,0.003295,0.084451,0.001644,0.000639,0.000407,0.002347,0.091036,0.059249
11,0.000024,0.115302,0.038788,0.038798,0.005630,0.047668,0.002779,0.051455,0.006012,0.041313,0.079696,0.049444,0.044797,0.002523,0.077100,0.055464,0.063250,0.001223,0.048981,0.003887,0.000398,0.003180,0.019183,0.000036,0.093764,0.002836,0.042429,0.001223,0.004030,0.050263,0.002133,0.000667,0.000302,0.003023,0.090287,0.066223
21,0.000033,0.118381,0.041186,0.031573,0.004022,0.048438,0.002345,0.051321,0.005803,0.040339,0.075488,0.049385,0.057760,0.005445,0.077466,0.052008,0.069088,0.000964,0.057208,0.003217,0.000274,0.002163,0.004034,0.000021,0.071850,0.002675,0.043199,0.000833,0.003296,0.084479,0.001575,0.000639,0.000402,0.002417,0.091034,0.059239
6,0.000033,0.118487,0.041216,0.031585,0.004131,0.048438,0.002344,0.051320,0.005800,0.040105,0.075420,0.049386,0.057760,0.005441,0.077468,0.052012,0.068980,0.000963,0.057196,0.003266,0.000205,0.002162,0.004056,0.000207,0.071919,0.002674,0.043197,0.001061,0.003109,0.084451,0.001644,0.000639,0.000427,0.002347,0.091036,0.059249
11,0.000024,0.115113,0.038714,0.038798,0.005630,0.046329,0.002779,0.051455,0.006012,0.041313,0.079696,0.050782,0.044797,0.002523,0.077100,0.055464,0.063250,0.001223,0.048981,0.003887,0.000398,0.003180,0.019183,0.000036,0.093764,0.002836,0.042429,0.001223,0.004030,0.050263,0.002133,0.000667,0.000302,0.003023,0.090287,0.066223
21,0.000033,0.118381,0.041186,0.031573,0.004022,0.048438,0.002345,0.051321,0.005803,0.040339,0.075488,0.049385,0.057760,0.005445,0.077466,0.052008,0.069088,0.000964,0.057208,0.003217,0.000274,0.002163,0.004034,0.000021,0.071850,0.002675,0.043199,0.000833,0.003296,0.084479,0.001575,0.000639,0.000402,0.002417,0.091034,0.059239
6,0.000033,0.118487,0.041216,0.031559,0.004131,0.048438,0.002344,0.051320,0.005800,0.040105,0.075420,0.049386,0.057760,0.005441,0.077468,0.052012,0.068980,0.000963,0.057196,0.003266,0.000205,0.002162,0.003871,0.000207,0.071919,0.002674,0.043383,0.001061,0.003109,0.084451,0.001644,0.000639,0.000427,0.002347,0.091036,0.059275
4,0.000031,0.118406,0.041140,0.031767,0.004047,0.048426,0.002351,0.051337,0.005821,0.040352,0.075462,0.049378,0.057695,0.006229,0.077448,0.051990,0.069074,0.000970,0.057004,0.003226,0.000273,0.002178,0.004456,0.000021,0.071085,0.003539,0.043199,0.000836,0.003311,0.083283,0.001585,0.000639,0.000401,0.002422,0.091017,0.059180
13,0.000035,0.119117,0.041701,0.033982,0.004175,0.063309,0.003095,0.051524,0.005998,0.040205,0.060297,0.049289,0.057921,0.006112,0.077318,0.051325,0.068904,0.000979,0.054316,0.003396,0.000193,0.002219,0.009219,0.000150,0.071895,0.002769,0.043211,0.000986,0.003688,0.079927,0.001684,0.000619,0.000427,0.002344,0.090899,0.057624
6,0.000033,0.118443,0.041203,0.031559,0.004131,0.048438,0.002160,0.051320,0.005800,0.040105,0.075420,0.049386,0.057760,0.005441,0.077468,0.052012,0.068980,0.000963,0.057196,0.003266,0.000205,0.002162,0.003871,0.000207,0.071919,0.002674,0.043383,0.001061,0.003293,0.084451,0.001644,0.000639,0.000427,0.002347,0.091036,0.059275
2,0.000032,0.118418,0.041189,0.031767,0.004134,0.048430,0.002408,0.051338,0.005817,0.040114,0.075406,0.049378,0.057774,0.005499,0.077455,0.051953,0.068973,0.000965,0.056949,0.003330,0.000204,0.002167,0.004329,0.000202,0.071917,0.002682,0.043368,0.001055,0.003159,0.084064,0.001648,0.000585,0.000427,0.002347,0.091024,0.059133
13,0.000035,0.119117,0.041701,0.033982,0.004175,0.063309,0.003095,0.051524,0.005998,0.040205,0.060297,0.049289,0.057921,0.006112,0.077318,0.051325,0.068904,0.000979,0.054316,0.003396,0.000193,0.002219,0.009219,0.000150,0.071895,0.002769,0.043211,0.000986,0.003688,0.079927,0.001684,0.000619,0.000427,0.002344,0.090899,0.057624
24,0.000033,0.118442,0.041194,0.031590,0.004137,0.048397,0.002230,0.051321,0.005801,0.040110,0.075439,0.049325,0.057704,0.005416,0.077467,0.052027,0.068955,0.000964,0.057161,0.003269,0.000206,0.002178,0.003937,0.000206,0.072045,0.002675,0.043377,0.001062,0.003296,0.084304,0.001648,0.000639,0.000427,0.002350,0.091033,0.059305
6,0.000033,0.118443,0.041203,0.031559,0.004131,0.048438,0.002160,0.051320,0.005800,0.040105,0.075420,0.049386,0.057760,0.005441,0.077468,0.052012,0.068980,0.000963,0.057196,0.003266,0.000205,0.002162,0.003871,0.000207,0.071919,0.002674,0.043383,0.001061,0.003293,0.084451,0.001644,0.000639,0.000427,0.002347,0.091036,0.059275
8,0.000042,0.121312,0.042458,0.031701,0.004052,0.068254,0.002352,0.051332,0.005809,0.040357,0.075555,0.026798,0.057554,0.005422,0.077457,0.052055,0.068989,0.000968,0.057049,0.003232,0.000276,0.004947,0.004298,0.000023,0.071341,0.002703,0.043186,0.000840,0.003310,0.084067,0.001586,0.000640,0.000400,0.003095,0.091020,0.059331
13,0.000035,0.119117,0.041701,0.033982,0.004175,0.063309,0.003095,0.051524,0.005998,0.040205,0.060297,0.049289,0.057921,0.006112,0.077318,0.051325,0.068904,0.000979,0.054316,0.003396,0.000193,0.002219,0.009219,0.000150,0.071895,0.002769,0.043211,0.000986,0.003688,0.079927,0.001684,0.000619,0.000427,0.002344,0.090899,0.057624
2,0.000034,0.119917,0.042090,0.033300,0.004163,0.059121,0.002832,0.051467,0.005942,0.040177,0.064556,0.049317,0.057875,0.005923,0.077360,0.046640,0.068926,0.001764,0.055127,0.003360,0.000197,0.002203,0.007712,0.005044,0.071902,0.002742,0.042470,0.001008,0.003576,0.081201,0.001673,0.000625,0.000427,0.002345,0.090937,0.058089
