id,HV,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
8,489.959652,0.136437,0.043415,0.022804,0.015075,0.030094,0.011478,0.026961,0.053401,0.027181,0.043984,0.003488,0.039483,0.019943,0.042068,0.019934,0.053418,0.040508,0.044339,0.042686,0.009993,0.020637,0.046854,0.000000,0.028662,0.045602,0.051847,0.007349,0.035114,0.044489,0.040201,0.016878,0.029226,0.023806,0.019971,0.042527
27,489.864651,0.136340,0.043394,0.022887,0.015044,0.030004,0.011426,0.026937,0.053381,0.027195,0.044085,0.003483,0.039448,0.019898,0.041989,0.019904,0.053450,0.040385,0.044503,0.042789,0.009978,0.020693,0.047014,0.000000,0.028816,0.045569,0.051784,0.007352,0.035201,0.044551,0.040046,0.016831,0.029194,0.023773,0.019894,0.042496
9,489.797603,0.136272,0.043379,0.022946,0.015022,0.029941,0.011389,0.026919,0.053368,0.027204,0.044157,0.003479,0.039422,0.019867,0.041933,0.019882,0.053473,0.040297,0.044621,0.042862,0.009968,0.020732,0.047128,0.000000,0.028926,0.045545,0.051740,0.007354,0.035263,0.044595,0.039937,0.016798,0.029172,0.023749,0.019839,0.042475
8,489.959652,0.136437,0.043415,0.022804,0.015075,0.030094,0.011478,0.026961,0.053401,0.027181,0.043984,0.003488,0.039483,0.019943,0.042068,0.019934,0.053418,0.040508,0.044339,0.042686,0.009993,0.020637,0.046854,0.000000,0.028662,0.045602,0.051847,0.007349,0.035114,0.044489,0.040201,0.016878,0.029226,0.023806,0.019971,0.042527
12,489.865564,0.136503,0.043429,0.022746,0.015097,0.030155,0.011513,0.026979,0.053414,0.027172,0.043914,0.003492,0.039507,0.019974,0.042122,0.019954,0.053397,0.040593,0.044224,0.042615,0.010004,0.020598,0.046744,0.000000,0.028555,0.045626,0.051891,0.007347,0.035053,0.044446,0.040307,0.016910,0.029249,0.023828,0.020024,0.042548
27,489.864651,0.136340,0.043394,0.022887,0.015044,0.030004,0.011426,0.026937,0.053381,0.027195,0.044085,0.003483,0.039448,0.019898,0.041989,0.019904,0.053450,0.040385,0.044503,0.042789,0.009978,0.020693,0.047014,0.000000,0.028816,0.045569,0.051784,0.007352,0.035201,0.044551,0.040046,0.016831,0.029194,0.023773,0.019894,0.042496
14,489.983877,0.136461,0.043420,0.022783,0.015084,0.030116,0.011491,0.026968,0.053406,0.027178,0.043958,0.003490,0.039492,0.019954,0.042088,0.019941,0.053410,0.040540,0.044296,0.042660,0.009997,0.020623,0.046813,0.000000,0.028622,0.045611,0.051863,0.007348,0.035091,0.044473,0.040240,0.016889,0.029235,0.023814,0.019991,0.042534
28,489.983731,0.136461,0.043420,0.022783,0.015084,0.030116,0.011491,0.026968,0.053406,0.027178,0.043958,0.003490,0.039492,0.019954,0.042088,0.019941,0.053410,0.040539,0.044297,0.042660,0.009997,0.020623,0.046814,0.000000,0.028623,0.045611,0.051863,0.007348,0.035092,0.044473,0.040240,0.016889,0.029235,0.023814,0.019991,0.042534
4,489.971916,0.136449,0.043417,0.022793,0.015080,0.030105,0.011484,0.026965,0.053403,0.027180,0.043971,0.003489,0.039487,0.019949,0.042078,0.019937,0.053414,0.040524,0.044317,0.042673,0.009995,0.020630,0.046834,0.000000,0.028642,0.045607,0.051855,0.007349,0.035102,0.044481,0.040221,0.016884,0.029231,0.023810,0.019981,0.042531
28,489.983731,0.136461,0.043420,0.022783,0.015084,0.030116,0.011491,0.026968,0.053406,0.027178,0.043958,0.003490,0.039492,0.019954,0.042088,0.019941,0.053410,0.040539,0.044297,0.042660,0.009997,0.020623,0.046814,0.000000,0.028623,0.045611,0.051863,0.007348,0.035092,0.044473,0.040240,0.016889,0.029235,0.023814,0.019991,0.042534
7,489.983467,0.136461,0.043420,0.022783,0.015083,0.030116,0.011491,0.026968,0.053405,0.027178,0.043959,0.003490,0.039492,0.019954,0.042088,0.019941,0.053411,0.040539,0.044297,0.042660,0.009997,0.020623,0.046814,0.000000,0.028623,0.045611,0.051863,0.007348,0.035092,0.044473,0.040239,0.016889,0.029234,0.023814,0.019990,0.042534
4,489.971916,0.136449,0.043417,0.022793,0.015080,0.030105,0.011484,0.026965,0.053403,0.027180,0.043971,0.003489,0.039487,0.019949,0.042078,0.019937,0.053414,0.040524,0.044317,0.042673,0.009995,0.020630,0.046834,0.000000,0.028642,0.045607,0.051855,0.007349,0.035102,0.044481,0.040221,0.016884,0.029231,0.023810,0.019981,0.042531
12,497.982051,0.137093,0.043938,0.022604,0.012611,0.034710,0.009883,0.031083,0.047147,0.023788,0.042030,0.004233,0.039282,0.021434,0.039396,0.017461,0.051961,0.038139,0.044872,0.045119,0.011449,0.020240,0.050029,0.000000,0.029916,0.042681,0.051663,0.007228,0.038613,0.043434,0.043876,0.016190,0.031105,0.023493,0.022649,0.041681
28,489.983731,0.136461,0.043420,0.022783,0.015084,0.030116,0.011491,0.026968,0.053406,0.027178,0.043958,0.003490,0.039492,0.019954,0.042088,0.019941,0.053410,0.040539,0.044297,0.042660,0.009997,0.020623,0.046814,0.000000,0.028623,0.045611,0.051863,0.007348,0.035092,0.044473,0.040240,0.016889,0.029235,0.023814,0.019991,0.042534
7,489.983467,0.136461,0.043420,0.022783,0.015083,0.030116,0.011491,0.026968,0.053405,0.027178,0.043959,0.003490,0.039492,0.019954,0.042088,0.019941,0.053411,0.040539,0.044297,0.042660,0.009997,0.020623,0.046814,0.000000,0.028623,0.045611,0.051863,0.007348,0.035092,0.044473,0.040239,0.016889,0.029234,0.023814,0.019990,0.042534
12,497.982051,0.137093,0.043938,0.022604,0.012611,0.034710,0.009883,0.031083,0.047147,0.023788,0.042030,0.004233,0.039282,0.021434,0.039396,0.017461,0.051961,0.038139,0.044872,0.045119,0.011449,0.020240,0.050029,0.000000,0.029916,0.042681,0.051663,0.007228,0.038613,0.043434,0.043876,0.016190,0.031105,0.023493,0.022649,0.041681
18,495.185761,0.136877,0.043760,0.022665,0.013457,0.033138,0.010433,0.029674,0.049289,0.024948,0.042690,0.003979,0.039353,0.020927,0.040317,0.018310,0.052457,0.038960,0.044675,0.044277,0.010952,0.020371,0.048928,0.000000,0.029474,0.043684,0.051731,0.007269,0.037408,0.043790,0.042631,0.016429,0.030465,0.023603,0.021739,0.041973
10,492.663017,0.136677,0.043597,0.022722,0.014237,0.031688,0.010940,0.028376,0.051263,0.026018,0.043299,0.003744,0.039420,0.020460,0.041166,0.019092,0.052914,0.039718,0.044494,0.043502,0.010494,0.020492,0.047914,0.000000,0.029066,0.044608,0.051795,0.007307,0.036297,0.044118,0.041484,0.016650,0.029875,0.023704,0.020900,0.042242
12,497.982051,0.137093,0.043938,0.022604,0.012611,0.034710,0.009883,0.031083,0.047147,0.023788,0.042030,0.004233,0.039282,0.021434,0.039396,0.017461,0.051961,0.038139,0.044872,0.045119,0.011449,0.020240,0.050029,0.000000,0.029916,0.042681,0.051663,0.007228,0.038613,0.043434,0.043876,0.016190,0.031105,0.023493,0.022649,0.041681
