id,SemiVar,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
id,SemiVar,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
29,0.001705,0.118549,0.001705,0.086670,0.014881,0.000514,0.026391,0.072968,0.000685,0.063563,0.050550,0.018942,0.046430,0.028546,0.001115,0.051980,0.080782,0.020190,0.030930,0.081120,0.025426,0.020781,0.041321,0.013282,0.042875,0.000763,0.031660,0.033218,0.030594,0.001234,0.000084,0.000034,0.055347,0.023198,0.001954,0.001974
16,0.001707,0.118859,0.001707,0.085859,0.011924,0.000571,0.028831,0.074243,0.000673,0.061918,0.049145,0.020304,0.050640,0.030323,0.001250,0.050631,0.080474,0.020765,0.028726,0.081009,0.024231,0.019181,0.040245,0.014174,0.041724,0.000802,0.033631,0.032284,0.031410,0.001391,0.000099,0.000040,0.053591,0.025474,0.002276,0.002162
19,0.001704,0.118711,0.001704,0.086680,0.010518,0.000506,0.026117,0.072932,0.000684,0.063788,0.050744,0.018737,0.050676,0.028298,0.001104,0.052198,0.081529,0.019401,0.031094,0.081250,0.025068,0.020898,0.041468,0.013157,0.043014,0.000619,0.031377,0.033341,0.030621,0.001236,0.000087,0.000036,0.055541,0.023340,0.002010,0.001929
16,0.001707,0.118859,0.001707,0.085859,0.011924,0.000571,0.028831,0.074243,0.000673,0.061918,0.049145,0.020304,0.050640,0.030323,0.001250,0.050631,0.080474,0.020765,0.028726,0.081009,0.024231,0.019181,0.040245,0.014174,0.041724,0.000802,0.033631,0.032284,0.031410,0.001391,0.000099,0.000040,0.053591,0.025474,0.002276,0.002162
3,0.001708,0.118743,0.001708,0.086686,0.011823,0.000541,0.028225,0.075449,0.000718,0.062842,0.049947,0.019226,0.049695,0.029299,0.001206,0.051529,0.077722,0.023556,0.028023,0.081147,0.027727,0.018700,0.040830,0.013795,0.042223,0.002052,0.032240,0.032866,0.030769,0.001291,0.000114,0.000077,0.054974,0.021117,0.000434,0.003157
19,0.001704,0.118712,0.001704,0.086680,0.010518,0.000497,0.026117,0.072932,0.000684,0.063788,0.050744,0.018737,0.050676,0.028298,0.001104,0.052198,0.081529,0.019401,0.031094,0.081250,0.025068,0.020898,0.041468,0.013157,0.043014,0.000619,0.031377,0.033341,0.030621,0.001236,0.000087,0.000036,0.055541,0.023340,0.002019,0.001929
4,0.001705,0.119201,0.001705,0.084660,0.012140,0.000484,0.030160,0.082609,0.000486,0.064434,0.051284,0.018051,0.050681,0.027057,0.001054,0.052865,0.081893,0.019515,0.021705,0.081297,0.025316,0.012352,0.041873,0.013015,0.041938,0.000757,0.030600,0.033725,0.030350,0.001185,0.000080,0.000044,0.056214,0.022604,0.003847,0.005725
10,0.001707,0.118553,0.001707,0.086846,0.013282,0.000663,0.031003,0.073399,0.000711,0.059327,0.046899,0.022843,0.050208,0.033137,0.001494,0.047880,0.066747,0.037865,0.027849,0.077877,0.032147,0.018599,0.038563,0.015664,0.040277,0.000932,0.036971,0.030620,0.032561,0.001468,0.000018,0.000008,0.051705,0.018484,0.000898,0.003055
18,0.001694,0.118439,0.001694,0.086630,0.012315,0.000575,0.032737,0.075052,0.000718,0.061773,0.049021,0.020283,0.050502,0.030484,0.001243,0.050435,0.074342,0.027093,0.027820,0.082896,0.029144,0.018557,0.040139,0.010912,0.041618,0.001105,0.033658,0.030314,0.031303,0.001346,0.000088,0.000059,0.053995,0.020241,0.001340,0.002264
12,0.001700,0.118669,0.001700,0.086499,0.013075,0.000640,0.030472,0.074103,0.000716,0.060207,0.047645,0.016470,0.050169,0.032204,0.001432,0.048871,0.070510,0.033198,0.027666,0.078724,0.030166,0.018463,0.044625,0.015174,0.040697,0.000916,0.035945,0.031175,0.032163,0.001439,0.000044,0.000031,0.052400,0.020084,0.001278,0.002801
6,0.001700,0.118413,0.001700,0.085881,0.013071,0.000619,0.025494,0.075227,0.000884,0.060956,0.048274,0.021186,0.050071,0.031451,0.001589,0.049410,0.074126,0.027371,0.027105,0.080888,0.028237,0.018423,0.039532,0.014737,0.040995,0.000946,0.035111,0.031368,0.031825,0.001423,0.000072,0.000059,0.052802,0.021759,0.006658,0.002450
6,0.001689,0.117472,0.001689,0.085881,0.013071,0.000866,0.025494,0.075227,0.000884,0.060956,0.048274,0.021186,0.050071,0.031451,0.001589,0.049410,0.074126,0.027371,0.027105,0.080888,0.027990,0.018423,0.039532,0.014737,0.040995,0.000940,0.035111,0.027846,0.031825,0.004944,0.000072,0.000059,0.052802,0.021759,0.006658,0.002456
18,0.001694,0.118439,0.001694,0.086630,0.012315,0.000575,0.032737,0.075052,0.000718,0.061773,0.049021,0.020283,0.050502,0.030484,0.001243,0.050435,0.074342,0.027093,0.027820,0.082896,0.029144,0.018557,0.040139,0.010912,0.041618,0.001105,0.033658,0.030314,0.031303,0.001346,0.000088,0.000059,0.053995,0.020241,0.001340,0.002264
20,0.001697,0.118615,0.001697,0.086279,0.012284,0.000559,0.032277,0.076401,0.000677,0.062248,0.049425,0.019885,0.050534,0.029872,0.001209,0.050868,0.075690,0.025740,0.026728,0.082611,0.028461,0.017449,0.040047,0.011287,0.041675,0.001042,0.033112,0.030923,0.031132,0.001317,0.000086,0.000056,0.054793,0.020663,0.001788,0.002882
18,0.001683,0.117927,0.001683,0.086630,0.012315,0.000575,0.032737,0.075052,0.000718,0.061773,0.049021,0.020283,0.050502,0.030484,0.001243,0.050435,0.073793,0.027093,0.027820,0.082896,0.029144,0.020632,0.040139,0.011461,0.041618,0.001105,0.033658,0.028238,0.031303,0.001346,0.000088,0.000059,0.053995,0.020241,0.001340,0.002264
4,0.001690,0.117558,0.001690,0.085834,0.013022,0.000847,0.025771,0.075553,0.000865,0.061118,0.048415,0.021038,0.050102,0.031247,0.001562,0.049573,0.074473,0.027020,0.026872,0.080926,0.027883,0.018155,0.039642,0.014623,0.041043,0.000933,0.034897,0.028131,0.031755,0.004743,0.000072,0.000059,0.052965,0.021782,0.006482,0.002599
10,0.001692,0.118335,0.001692,0.085442,0.012148,0.000527,0.029707,0.078709,0.000583,0.063810,0.049578,0.019236,0.050584,0.028804,0.001138,0.051873,0.078459,0.022170,0.025068,0.081100,0.026329,0.015803,0.041031,0.013644,0.041754,0.000829,0.034159,0.030980,0.030972,0.001268,0.000127,0.000039,0.055055,0.022397,0.002820,0.003855
18,0.001683,0.117927,0.001683,0.086630,0.012315,0.000575,0.032737,0.075052,0.000718,0.061773,0.049021,0.020283,0.050502,0.030484,0.001243,0.050435,0.073793,0.027093,0.027820,0.082896,0.029144,0.020632,0.040139,0.011461,0.041618,0.001105,0.033658,0.028238,0.031303,0.001346,0.000088,0.000059,0.053995,0.020241,0.001340,0.002264
16,0.001684,0.117972,0.001684,0.086607,0.012313,0.000574,0.032707,0.075139,0.000715,0.061804,0.049047,0.020258,0.050504,0.030444,0.001241,0.050463,0.073916,0.027005,0.027749,0.082877,0.029100,0.020426,0.040133,0.011449,0.041621,0.001101,0.033623,0.028412,0.031291,0.001344,0.000088,0.000059,0.054047,0.020269,0.001370,0.002304
21,0.001685,0.118051,0.001685,0.086270,0.012264,0.000560,0.031817,0.076162,0.000677,0.062391,0.049190,0.019965,0.050527,0.029974,0.001211,0.050871,0.075210,0.025598,0.026984,0.082351,0.028289,0.019166,0.040410,0.012124,0.041659,0.001021,0.033810,0.029071,0.031202,0.001322,0.000100,0.000053,0.054317,0.020896,0.001790,0.002747
